source,granularity,name,address,district,lat,lon,unit_type,operator_name,operator_name_source,host_id,host_listings_count,website,picture_url,phone,email,raw_id,name_norm,domain,source_names,source_record_ids,merge_confidence,canonical_id,linked_establishment_id,linked_establishment_confidence,linked_establishment_evidence,candidate_establishment_id,candidate_establishment_distance_m,candidate_establishment_evidence,operator_name_normalized,operator_identity_confidence,unit_type_normalized,hotel_chain,operator_type,embedding_score_raw,embedding_score,embedding_suggestion
airbnb,listing,1BR Apt near City center 2.34 Prestigeapartments,Alsergrund,Alsergrund,48.21525573730469,16.34971809387207,Entire serviced apartment,Prestige Apartments Sabrina,airbnb_host,14070533.0,62.0,https://www.airbnb.com/rooms/39749122,https://a0.muscache.com/pictures/6c751511-44d7-4ae8-813a-a06697b71457.jpg,,,airbnb:39749122,1br apt near city center 2 34 prestigeapartments,airbnb.com,airbnb,airbnb:39749122,single,40785815-4666-448f-8ab2-070bc6e015d9,,,,b13d7805-5a99-4f3d-bb35-cae2dc23560a,39.43,distance<=39m,prestige apartments sabrina,high,apartment,,multi_listing,-1.826140284538269,0.2527277015879837,weak
airbnb,listing,Doppelzimmer Komfort 25m²,Favoriten,Favoriten,48.14064849403813,16.38131270370485,Private room in bed and breakfast,Alexandra,airbnb_host,714151614.0,4.0,https://www.airbnb.com/rooms/1490430716779867567,https://a0.muscache.com/pictures/hosting/Hosting-1490430716779867567/original/cc0623f4-41e7-4066-b7e6-0838fcd7cba8.jpeg,,,airbnb:1490430716779867567,doppelzimmer komfort 25m,airbnb.com,airbnb,airbnb:1490430716779867567,single,7eb2809a-1ab0-41d4-99c6-4e97f1032963,,,,a0ffb6ba-38c1-4f0d-8c4a-79cacb4aa63f,12.07,distance<=12m + token_overlap=alexandra,alexandra,high,guest_house,,multi_listing,-1.8264129161834717,0.25242361903708344,weak
airbnb,listing,Charming Vintage Vienna Getaway  67m² with A/C,Favoriten,Favoriten,48.17655078836237,16.366209757701522,Entire rental unit,Manuel,airbnb_host,540664011.0,1.0,https://www.airbnb.com/rooms/1429849355951098239,https://a0.muscache.com/pictures/hosting/Hosting-1429849355951098239/original/01c99652-b52f-47e0-810a-90a7ba11d3bb.jpeg,,,airbnb:1429849355951098239,charming vintage vienna getaway 67m with a c,airbnb.com,airbnb,airbnb:1429849355951098239,single,6146f509-e044-4a36-ae33-8f200816d191,,,,65b941c9-6987-4064-9012-91ec896df9f2,32.48,distance<=32m,manuel,high,apartment,,single_property,-1.8265297412872314,0.2522933169383155,weak
airbnb,listing,Feel @ home in Ottakring,Ottakring,Ottakring,48.21094671224772,16.323490784692872,Entire rental unit,Petra,airbnb_host,7770370.0,8.0,https://www.airbnb.com/rooms/1139565728415330872,https://a0.muscache.com/pictures/35d5521f-958a-495a-afe4-bc21a6368b89.jpg,,,airbnb:1139565728415330872,feel home in ottakring,airbnb.com,airbnb,airbnb:1139565728415330872,single,98fa5f7c-641e-4fa8-8b1c-2dff203f8949,,,,f05fb960-1530-4d81-84fa-fed36059e7dc,22.6,distance<=23m,petra,high,apartment,,multi_listing,-1.826835036277771,0.25195280298429035,weak
airbnb,listing,Small apartment next to Westbahnhof,Rudolfsheim-Fnfhaus,Rudolfsheim-Fünfhaus,48.19336,16.33186,Entire rental unit,Martin,airbnb_host,5941204.0,4.0,https://www.airbnb.com/rooms/28506638,https://a0.muscache.com/pictures/5a25f708-31b8-4b62-98b4-415ca5c55fc3.jpg,,,airbnb:28506638,small apartment next to westbahnhof,airbnb.com,airbnb,airbnb:28506638,single,d2c102af-e4a3-43dd-b16c-43b546ad193e,,,,56467d66-872a-4b95-a6f5-d7f6635aab37,25.93,distance<=26m,martin,high,apartment,,multi_listing,-1.8274463415145874,0.2512709773082884,weak
airbnb,listing,GS13j Apartment,Leopoldstadt,Leopoldstadt,48.21807,16.37729,Entire rental unit,AdInfinitum Philip Bea Sophia,airbnb_host,5874520.0,83.0,https://www.airbnb.com/rooms/41338763,https://a0.muscache.com/pictures/miso/Hosting-41338763/original/87ab3f7b-05ec-4a3f-a62c-b926b18f146c.jpeg,,,airbnb:41338763,gs13j apartment,airbnb.com,airbnb,airbnb:41338763,single,af36374e-2683-4dba-b5a3-f0b190ca0962,,,,3d63b0d6-0df2-4b9e-ad6b-47e7d6621876,39.68,distance<=40m,adinfinitum philip bea sophia,high,apartment,,multi_listing,-1.829230546951294,0.24928094515292148,weak
airbnb,listing,Design flat near center,Alsergrund,Alsergrund,48.22026,16.35531,Entire rental unit,Strahinja,airbnb_host,200307338.0,1.0,https://www.airbnb.com/rooms/26644667,https://a0.muscache.com/pictures/1407effa-54a1-4fd8-ab5a-b4521cc447c9.jpg,,,airbnb:26644667,design flat near center,airbnb.com,airbnb,airbnb:26644667,single,04d75d11-9a48-4c30-bb1b-172ffb75d94a,,,,63acece0-3525-4be5-a0e6-c521a9c6f7f1,38.62,distance<=39m,strahinja,high,apartment,,single_property,-1.8293863534927368,0.24910716470078914,weak
airbnb,listing,Private Artistic Room 7min Stephansplatz & Centre!,Leopoldstadt,Leopoldstadt,48.218105,16.387913,Private room in rental unit,Darwin,airbnb_host,133431671.0,1.0,https://www.airbnb.com/rooms/578939214120193119,https://a0.muscache.com/pictures/miso/Hosting-578939214120193119/original/81514bc0-1af6-482f-af99-7a265f5589ee.jpeg,,,airbnb:578939214120193119,private artistic room 7min stephansplatz centre,airbnb.com,airbnb,airbnb:578939214120193119,single,f946660e-1075-4d3b-a412-ef81706a9a77,,,,8c60d7af-a3bd-4d5a-8253-c0665d3cc184,37.72,distance<=38m,darwin,high,apartment,,single_property,-1.8299367427825928,0.24849328226200187,weak
airbnb,listing,Ferienwohnung/App. mit 52m² in Wien (189047),Leopoldstadt,Leopoldstadt,48.21534,16.39016,Entire rental unit,Buchungsservice SECRA Bookings,airbnb_host,238030351.0,1230.0,https://www.airbnb.com/rooms/988322556700619688,https://a0.muscache.com/pictures/prohost-api/Hosting-988322556700619688/original/cebe5991-7b7d-423a-88ef-c4ab77ac3af8.jpeg,,,airbnb:988322556700619688,ferienwohnung app mit 52m in wien 189047,airbnb.com,airbnb,airbnb:988322556700619688,single,62b67207-f594-4847-a385-f08d553c0809,,,,766e2334-9b06-4ccf-a099-364044946b17,6.17,distance<=6m,buchungsservice secra bookings,high,apartment,,multi_listing,-1.8307760953903198,0.24755710157075192,weak
airbnb,listing,Naschmarkt retreat,Mariahilf,Mariahilf,48.19822,16.35525,Entire rental unit,Alexandra,airbnb_host,556046490.0,28.0,https://www.airbnb.com/rooms/1496285300738595997,https://a0.muscache.com/pictures/hosting/Hosting-1496285300738595997/original/8bf45625-0ae8-4a54-b631-72ffc4f6b7ba.jpeg,,,airbnb:1496285300738595997,naschmarkt retreat,airbnb.com,airbnb,airbnb:1496285300738595997,single,79deabee-c1f2-4084-ae25-6668305f1cd2,,,,3d970984-9aa2-47da-a578-a6fe2e2df217,18.35,distance<=18m,alexandra,high,apartment,,multi_listing,-1.8308724164962769,0.247449668819931,weak
airbnb,listing,X Apartment Vienna | Cozy & Next to the Tram Line,Favoriten,Favoriten,48.17598,16.36634,Entire rental unit,Ajla,airbnb_host,666614408.0,1.0,https://www.airbnb.com/rooms/1310029432814712403,https://a0.muscache.com/pictures/hosting/Hosting-1310029432814712403/original/5d9bf36b-2629-4bd3-9612-43b4278e1dc5.jpeg,,,airbnb:1310029432814712403,x apartment vienna cozy next to the tram line,airbnb.com,airbnb,airbnb:1310029432814712403,single,2a4fe71a-a114-45d6-942c-1fcf4f012611,,,,65b941c9-6987-4064-9012-91ec896df9f2,35.9,distance<=36m,ajla,high,apartment,,single_property,-1.831992506980896,0.2462003642076622,weak
airbnb,listing,Cozy room in the 7th District,Neubau,Neubau,48.20223,16.3495,Private room in rental unit,Tiago,airbnb_host,30794125.0,1.0,https://www.airbnb.com/rooms/7092860,https://a0.muscache.com/pictures/90770100/3fe56c66_original.jpg,,,airbnb:7092860,cozy room in the 7th district,airbnb.com,airbnb,airbnb:7092860,single,a3d60a1b-5a15-4896-b748-ac1a8c961732,,,,9c1a87f3-beca-4c8a-be4e-b49ed99e072e,21.24,distance<=21m,tiago,high,apartment,,single_property,-1.833277702331543,0.24476690815988972,weak
airbnb,listing,"CityPulse Residence ""Wolfgangsee""",Margareten,Margareten,48.19299,16.35614,Entire rental unit,Easy Flat TEAM,airbnb_host,50945012.0,76.0,https://www.airbnb.com/rooms/41952005,https://a0.muscache.com/pictures/miso/Hosting-41952005/original/e3c5e37b-9e73-412a-85ab-4de344fe2e05.jpeg,,,airbnb:41952005,citypulse residence wolfgangsee,airbnb.com,airbnb,airbnb:41952005,single,c2d2e3c5-5d6d-4e1e-aa43-914aa16ae81f,,,,30659c4f-228a-4529-a5f0-419047ee284d,36.29,distance<=36m,easy flat team,high,apartment,,multi_listing,-1.8337316513061523,0.24426059143324863,weak
airbnb,listing,Premium 2-floors Penthouse near Prater & Old City,Leopoldstadt,Leopoldstadt,48.22146105569656,16.387920322381785,Entire rental unit,Artem,airbnb_host,496808880.0,4.0,https://www.airbnb.com/rooms/807379347965178983,https://a0.muscache.com/pictures/miso/Hosting-807379347965178983/original/6e54015f-5ebd-4d37-99db-51e89cede3ca.jpeg,,,airbnb:807379347965178983,premium 2 floors penthouse near prater old city,airbnb.com,airbnb,airbnb:807379347965178983,single,303a1dd7-d9ba-4e8f-a8ce-0107d02ba800,,,,d83dc3f2-9ccc-4d8f-8e3f-1c6cb774572a,33.3,distance<=33m + token_overlap=prater,artem,high,apartment,,multi_listing,-1.8348731994628906,0.2429873537824306,weak
airbnb,listing,room 1,Wieden,Wieden,48.1901427,16.3649451,Room in hotel,Maha,airbnb_host,560496606.0,8.0,https://www.airbnb.com/rooms/1105110701362844316,https://a0.muscache.com/pictures/miso/Hosting-1105110701362844316/original/b09bca19-cc92-47d8-94fb-3ef57572ac35.jpeg,,,airbnb:1105110701362844316,room 1,airbnb.com,airbnb,airbnb:1105110701362844316,single,50e70c68-7f6d-4bdf-91b6-11ee73a5ed3a,,,,02708194-1a97-4e13-8501-711fef259fc0,7.41,distance<=7m,maha,high,hotel,,multi_listing,-1.8350634574890137,0.24277514750729426,weak
airbnb,listing,"Wunderschöne Wohnung mit Terrasse,  Klimaanlage",Alsergrund,Alsergrund,48.21983337402344,16.359472274780273,Entire rental unit,Hugo,airbnb_host,18933289.0,2.0,https://www.airbnb.com/rooms/11654647,https://a0.muscache.com/pictures/42e8f6c2-de55-40b9-b975-4a5ac903585e.jpg,,,airbnb:11654647,wunderschone wohnung mit terrasse klimaanlage,airbnb.com,airbnb,airbnb:11654647,single,2a8a53d5-c129-49a0-b0fe-2b9250af8ceb,,,,5faaf28e-f75a-4a2a-961e-01ee04a19ce0,29.06,distance<=29m,hugo,high,apartment,,single_property,-1.8354465961456299,0.24234780980786558,weak
airbnb,listing,NEW! Sissi West coffee - 2 minutes to Schönbrunn,Penzing,Penzing,48.18839724545733,16.30269463380312,Room in boutique hotel,Benjamin,airbnb_host,444868892.0,6.0,https://www.airbnb.com/rooms/723818585076736155,https://a0.muscache.com/pictures/miso/Hosting-723818585076736155/original/3b30f994-c0d8-4337-a3bf-2dff6a826c3b.jpeg,,,airbnb:723818585076736155,new sissi west coffee 2 minutes to schonbrunn,airbnb.com,airbnb,airbnb:723818585076736155,single,3b509dfc-94d3-463e-bbd0-cb0fda384708,,,,a07c112a-48b4-4779-8efc-9b8f99ab3f6a,26.1,"distance<=26m + name_phrase + token_overlap=sissi,west",benjamin,high,hotel,,multi_listing,-1.8358640670776367,0.24188217924675814,weak
airbnb,listing,Weltwiese Elegant Deluxe Apartment,Meidling,Meidling,48.1802324,16.3342098,Room in aparthotel,Thomas,airbnb_host,495823473.0,6.0,https://www.airbnb.com/rooms/812118239756787946,https://a0.muscache.com/pictures/miso/Hosting-803347771333018299/original/ae8e81fc-73cd-4ad5-973a-d1e585aa11a5.jpeg,,,airbnb:812118239756787946,weltwiese elegant deluxe apartment,airbnb.com,airbnb,airbnb:812118239756787946,single,81551270-b967-4d26-995b-c499ba0a7312,,,,0e149166-0e2d-4845-930a-ca674c2cf67f,19.88,distance<=20m,thomas,high,apartment,,multi_listing,-1.8361973762512207,0.24151041938129372,weak
airbnb,listing,The View - 9th floor sky apartment,Favoriten,Favoriten,48.1682202,16.3482141,Entire rental unit,Diana,airbnb_host,116849625.0,26.0,https://www.airbnb.com/rooms/1376057657962741456,https://a0.muscache.com/pictures/prohost-api/Hosting-1376057657962741456/original/bcf2524f-2129-4af2-9fe2-0d0fdf330a9a.jpeg,,,airbnb:1376057657962741456,the view 9th floor sky apartment,airbnb.com,airbnb,airbnb:1376057657962741456,single,704915ef-cabd-4a97-8f12-e58ff527a9d7,,,,293f6d66-4ed7-41b2-bdac-1d22c3099f77,9.87,distance<=10m,diana,high,apartment,,multi_listing,-1.836855411529541,0.24077647286578457,weak
airbnb,listing,Comfortable Apartment,Wieden,Wieden,48.197922110539565,16.367102204031244,Entire rental unit,Joachim,airbnb_host,511689935.0,73.0,https://www.airbnb.com/rooms/1232353999338936078,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTIzMjM1Mzk5OTMzODkzNjA3OA==/original/e88e1ce7-5a9e-4bea-aa98-5e4e2260ae7b.jpeg,,,airbnb:1232353999338936078,comfortable apartment,airbnb.com,airbnb,airbnb:1232353999338936078,single,1afb151c-7916-429a-989c-d8adc78c5fab,,,,00db4822-6796-49e9-bb71-ba97489e1c5a,5.81,distance<=6m,joachim,high,apartment,,multi_listing,-1.8372585773468018,0.24032679766370996,weak
airbnb,listing,Schöne Oase im Szeneviertel,Neubau,Neubau,48.20145,16.34022,Private room in rental unit,Felizitas,airbnb_host,489949443.0,1.0,https://www.airbnb.com/rooms/773445400747230747,https://a0.muscache.com/pictures/miso/Hosting-773445400747230747/original/97c5cd3c-2875-46d0-8700-3c4edab5e43f.jpeg,,,airbnb:773445400747230747,schone oase im szeneviertel,airbnb.com,airbnb,airbnb:773445400747230747,single,ac2bad42-6067-4bf0-9160-c1a4f896fda7,,,,dfe636b8-9d45-4a49-8e2d-f47c270dbfa2,23.69,distance<=24m,felizitas,high,apartment,,single_property,-1.8377652168273926,0.23976171203129804,weak
airbnb,listing,Great and quiet location,Innere Stadt,Innere Stadt,48.21723,16.36928,Private room in rental unit,Matt,airbnb_host,98940134.0,1.0,https://www.airbnb.com/rooms/15432554,https://a0.muscache.com/pictures/7ecb0809-0c18-4298-baaf-d5d137b72723.jpg,,,airbnb:15432554,great and quiet location,airbnb.com,airbnb,airbnb:15432554,single,058e7c01-d25d-4b14-bb61-f60defa7841f,,,,10c97473-1fcb-40a3-b1ac-d3fe0aec2c52,8.83,distance<=9m,matt,high,apartment,,single_property,-1.8383586406707764,0.23909983055408707,weak
airbnb,listing,Cosy Apartment,Margareten,Margareten,48.19337,16.36158,Private room in rental unit,Iva,airbnb_host,362159649.0,1.0,https://www.airbnb.com/rooms/44739344,https://a0.muscache.com/pictures/322054f5-ff46-4804-8334-a7b8c7070ab3.jpg,,,airbnb:44739344,cosy apartment,airbnb.com,airbnb,airbnb:44739344,single,99e5c8ab-03e4-48de-92d5-5332de11e083,,,,7495388c-6a5b-4dc2-946b-cf3182bae633,26.45,distance<=26m,iva,high,apartment,,single_property,-1.8391362428665161,0.23823252382932872,weak
airbnb,listing,Deluxe Double | Hip Base Near Prater Park,Leopoldstadt,Leopoldstadt,48.22274,16.38989,Room in hotel,Charles Douglas,airbnb_host,699490928.0,10.0,https://www.airbnb.com/rooms/1436912569363921386,https://a0.muscache.com/pictures/prohost-api/Hosting-1436912569363921386/original/b0fb6ea4-5df7-4601-a6f5-4968a62bd473.jpeg,,,airbnb:1436912569363921386,deluxe double hip base near prater park,airbnb.com,airbnb,airbnb:1436912569363921386,single,6972bf2f-d792-492e-b7eb-a13c016f19c4,,,,05304d8b-e7c6-426f-991b-078b956b4d8b,17.16,distance<=17m,charles douglas,high,hotel,,multi_listing,-1.8391951322555542,0.23816684093464366,weak
airbnb,listing,"Enjoy Vienna, Cozy Apartment, Newly Renovated",Neubau,Neubau,48.20431,16.34058,Entire rental unit,Clemens,airbnb_host,22149581.0,2.0,https://www.airbnb.com/rooms/40855454,https://a0.muscache.com/pictures/7103a094-59ee-4184-8348-983a23f0d1c9.jpg,,,airbnb:40855454,enjoy vienna cozy apartment newly renovated,airbnb.com,airbnb,airbnb:40855454,single,ad237752-5c3d-45e1-a357-a10c13a32aa5,,,,d5b608dc-5a43-4026-9766-2ab583a533a5,11.52,distance<=12m,clemens,high,apartment,,multi_listing,-1.8397901058197021,0.23750323096020415,weak
airbnb,listing,"ꕤ Zentral | Netflix |2 Stöcke |Arbeitsplatz |55""TV",Alsergrund,Alsergrund,48.22556,16.35628,Entire rental unit,Michael,airbnb_host,432165658.0,12.0,https://www.airbnb.com/rooms/1019503572375090356,https://a0.muscache.com/pictures/miso/Hosting-1019503572375090356/original/1efb3b4e-1a8f-4d52-a512-0a1b35123911.jpeg,,,airbnb:1019503572375090356,zentral netflix 2 stocke arbeitsplatz 55 tv,airbnb.com,airbnb,airbnb:1019503572375090356,single,f9512809-acc7-4602-b580-274f4d3e2fba,,,,159db66f-c7fb-4c4c-9579-45501591a4bd,37.0,distance<=37m,michael,high,apartment,,multi_listing,-1.8402076959609985,0.23703746743777143,weak
airbnb,listing,Studio apartment,Leopoldstadt,Leopoldstadt,48.2227366,16.3898929,Entire home,Hatice,airbnb_host,391835610.0,1.0,https://www.airbnb.com/rooms/1405219418750760436,https://a0.muscache.com/pictures/hosting/Hosting-1405219418750760436/original/06b27033-495e-43cf-8125-bbbb46ac4197.jpeg,,,airbnb:1405219418750760436,studio apartment,airbnb.com,airbnb,airbnb:1405219418750760436,single,16a8c68e-0945-4fec-99ef-e58f9c29350f,,,,05304d8b-e7c6-426f-991b-078b956b4d8b,17.48,distance<=17m,hatice,high,house,,single_property,-1.8404953479766846,0.23671663175988675,weak
airbnb,listing,Quiet room Viktoria 3/2,Rudolfsheim-Fnfhaus,Rudolfsheim-Fünfhaus,48.19379426798374,16.33196163442009,Private room in rental unit,Vera,airbnb_host,473052793.0,25.0,https://www.airbnb.com/rooms/1173024330351811414,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE3MzAyNDMzMDM1MTgxMTQxNA%3D%3D/original/0a947b08-f160-44c8-94e3-86d3fe1e8581.jpeg,,,airbnb:1173024330351811414,quiet room viktoria 3 2,airbnb.com,airbnb,airbnb:1173024330351811414,single,e16915d4-04cd-44e5-a932-c2952bee47f3,,,,56467d66-872a-4b95-a6f5-d7f6635aab37,23.04,distance<=23m,vera,high,apartment,,multi_listing,-1.8405516147613525,0.2366538740143577,weak
airbnb,listing,Lichtdurchfluteter Altbau,Landstra§e,Landstraße,48.1965,16.39631,Entire rental unit,Lucia,airbnb_host,348790140.0,1.0,https://www.airbnb.com/rooms/1175853453026516487,https://a0.muscache.com/pictures/miso/Hosting-1175853453026516487/original/6e173c46-77da-438a-b540-19a47a2d1262.jpeg,,,airbnb:1175853453026516487,lichtdurchfluteter altbau,airbnb.com,airbnb,airbnb:1175853453026516487,single,d4f1a146-c93c-4031-956d-aece69046a40,,,,913244b6-fd54-4d11-964f-ba6472edfc23,36.66,distance<=37m,lucia,high,apartment,,single_property,-1.8409157991409302,0.23624767716564748,weak
airbnb,listing,Superior room - non refundable - room only,Innere Stadt,Innere Stadt,48.20293,16.36995,Private room in pension,Markus,airbnb_host,214475924.0,8.0,https://www.airbnb.com/rooms/28483875,https://a0.muscache.com/pictures/prohost-api/Hosting-28483875/original/45fc606f-f0be-4bb8-9389-aca97e77bbf4.jpeg,,,airbnb:28483875,superior room non refundable room only,airbnb.com,airbnb,airbnb:28483875,single,a2033177-7e07-49c8-943a-83ae338eafa8,,,,5f2e17b8-f0f8-42db-b23b-bef6d1f5a42c,36.16,distance<=36m,markus,high,pension,,multi_listing,-1.8409671783447266,0.23619037083445463,weak
